node label
10849 0
12898 0
12899 1
12902 1
14952 0
10857 3
14955 0
15841 1
14960 0
12915 0
10868 0
12917 0
13076 0
10874 0
10687 3
14972 3
10347 3
12932 1
12054 3
12934 3
14785 3
14986 0
14987 2
10349 1
12944 2
12945 0
11615 1
12947 3
14996 2
12951 0
12953 0
12954 0
12955 3
12956 3
10910 2
12847 1
15008 1
11376 2
15010 3
14107 0
15012 2
12965 2
10918 1
15016 0
11719 1
15020 3
10925 1
10926 1
10927 3
15024 0
13768 1
10930 1
15027 0
10184 1
10933 2
12982 0
12983 2
16731 3
12992 0
10945 3
10946 3
15043 2
15045 2
10950 1
14113 1
15048 1
15049 1
13002 1
13003 1
11042 0
15054 3
11617 0
13008 3
10961 1
10965 2
10967 1
13016 2
15069 3
15070 0
13024 2
15074 1
10980 0
13029 0
10982 3
13032 1
13034 0
10140 0
15085 1
15086 2
15090 3
15091 2
13044 3
15093 3
13046 3
10999 3
15096 0
11002 3
11003 0
13052 3
14295 2
13055 2
15108 3
11013 1
11278 0
11619 2
13072 2
15370 0
11027 1
15124 1
13077 2
14468 1
11036 2
13087 2
11041 2
15138 1
10139 1
10938 2
11049 0
11050 3
11053 2
15153 1
11058 3
13109 1
13111 2
15160 2
13871 0
11066 0
13115 3
13117 3
11007 2
13121 1
15171 3
11076 1
13125 3
12769 1
15177 2
16345 2
12087 2
11085 1
11086 3
13139 0
11092 1
11097 0
11098 2
13151 3
11106 3
11067 0
11109 0
13158 0
11111 0
15215 0
15855 1
11122 0
11123 1
13873 0
11126 1
13176 1
15167 1
13182 1
11135 3
13184 0
15235 3
15236 2
13192 3
10732 0
11146 0
13195 3
13196 1
15245 1
11150 0
15248 2
15249 0
15250 2
13203 2
13204 0
14489 0
15257 1
13211 1
15511 3
11165 3
13219 3
13221 2
11174 3
11176 3
10396 1
13226 3
13127 0
15278 2
14493 2
13232 0
15282 1
11188 3
13241 1
11423 0
13244 0
11197 1
13246 3
15295 0
11200 2
10400 3
11203 0
13255 2
15304 0
13259 3
11214 1
13264 0
14150 1
15323 0
13277 0
11230 3
11233 1
13282 1
14843 0
10065 2
13891 0
11241 2
13290 0
15339 2
13292 3
11245 2
14559 2
13295 2
15344 3
13297 3
11252 0
13303 0
11259 0
15356 0
11267 0
10141 1
13484 1
11274 0
12119 1
11764 1
15374 1
11280 2
11282 3
11283 1
15380 0
15381 1
11288 1
15385 2
13487 0
11292 0
13341 1
13342 0
13344 1
10416 1
11298 0
13347 0
13348 1
11833 1
15401 1
14855 2
11308 0
15406 1
13360 0
13361 3
11315 1
13061 0
11317 2
13367 0
13369 1
15422 3
11445 1
13377 0
15427 2
13381 2
12129 1
11336 1
15433 3
13495 0
13388 1
13389 3
11789 2
15440 3
10424 3
16540 2
15203 3
13397 2
15446 2
15447 2
15448 2
14863 2
11450 3
15454 1
10085 2
15458 3
14182 2
14222 1
13415 2
13418 2
13422 0
11375 2
13424 2
13502 0
15478 1
15481 2
13434 1
11388 3
11391 2
11392 1
13504 1
13200 1
11778 0
11399 1
11401 1
13450 3
14871 2
14530 2
15502 1
15504 2
11411 1
13461 1
13463 3
13464 2
13467 1
11421 2
16581 2
14875 1
13476 0
15525 3
11430 3
11431 2
11433 0
15532 2
13485 0
13486 0
14877 1
11441 1
13490 1
15539 3
13493 3
11447 1
15546 3
12831 1
15548 3
11453 2
15550 3
14197 2
11456 2
13505 3
15554 1
13507 2
11463 2
16588 2
11468 1
11470 0
11471 1
13520 1
15569 1
15570 1
14542 2
11479 2
11481 0
15579 1
11484 2
15581 1
15582 1
11487 2
13536 2
13537 3
11492 1
13541 0
13543 1
13546 3
11503 0
15601 2
11506 3
13555 3
10135 0
11510 2
15607 0
11512 2
15231 2
13564 2
11517 2
13525 3
15232 3
15618 2
11525 1
13574 2
10613 1
15624 0
13577 0
15626 0
13579 1
15628 1
11535 1
12250 1
11537 0
15634 3
13587 3
11540 0
11140 0
11823 0
11550 1
13599 2
15650 3
11555 0
11559 2
15656 2
11563 0
10478 2
13619 3
11577 0
10463 3
13194 1
13630 3
10615 2
11588 1
12854 2
15798 1
11592 3
16553 3
12173 0
11603 0
15700 2
13198 0
13655 2
13540 3
15706 3
15707 2
15708 2
15709 1
14565 2
15713 3
11618 0
13667 3
12857 2
11624 0
15721 1
13674 2
11627 3
13676 2
15725 2
11630 0
11633 3
13682 3
15731 2
13685 3
11638 0
11641 0
11643 2
13693 2
11646 2
11648 0
11299 3
11650 3
12663 2
13700 3
11656 3
10476 2
15754 2
11659 3
11842 2
13710 1
11663 3
12184 0
13714 2
13715 2
11669 3
14314 0
11673 2
11675 2
10317 3
15774 3
12869 3
13398 1
11684 1
13736 3
15785 1
11695 0
15793 2
15794 1
11699 0
11028 2
13756 2
11711 2
11714 3
14467 3
13767 1
11720 2
11721 0
13770 1
11511 2
13772 3
11725 1
11726 1
11728 2
15825 2
15939 3
11732 3
13781 3
13785 3
13788 3
15838 3
13689 2
14371 3
15842 3
15843 2
13796 0
14303 0
15847 3
11493 2
11756 3
15853 2
13806 2
15599 2
15856 2
13809 2
11762 1
11344 2
15861 1
15862 1
15273 3
11415 3
15163 3
10154 0
11775 0
16498 2
13826 2
15275 3
13829 1
13830 0
15879 3
13832 1
15881 3
15882 3
15885 2
11790 3
15887 1
13827 3
13841 3
13230 0
14100 0
15897 1
13851 0
11867 1
11813 3
13862 1
13863 2
13865 3
13791 3
15919 0
11824 3
11825 3
11827 2
11828 3
14601 3
13881 3
15930 3
10267 3
13884 2
15934 2
11840 3
12896 0
13890 3
11531 1
11844 1
11845 1
13894 1
14945 1
12124 1
13898 2
13899 3
13731 2
15534 3
11856 3
14102 1
11859 2
11331 3
11193 0
11865 1
15057 2
12559 1
11869 0
11870 3
11871 3
15971 3
15973 3
11879 1
10011 1
14268 2
13930 0
13931 0
11413 0
13933 0
13934 2
15293 1
13936 3
11198 3
13942 1
15991 1
11898 0
11899 2
13949 2
11905 1
13459 0
11883 3
11908 1
13958 2
11495 2
11884 0
13964 1
13763 3
11885 3
11921 0
13970 0
11924 2
15982 3
11545 2
11931 1
13983 1
13984 2
11938 3
13987 2
11941 1
11947 3
12332 3
11952 1
13256 0
14004 2
12264 0
14006 1
11538 3
12916 2
14013 2
14646 3
14965 3
12235 2
11973 0
11975 3
14024 3
14025 0
14027 0
14028 2
11982 0
11986 0
15310 3
11992 2
12771 2
11994 3
16091 1
11996 0
11997 1
13105 1
14288 1
14050 2
12003 0
16101 0
14054 1
12007 0
14057 0
12583 2
12012 1
14062 2
12016 0
12018 3
16681 3
12244 1
12028 3
16665 3
12245 1
14081 1
14082 0
12587 3
10923 2
16133 0
12039 3
14088 1
15472 2
14091 3
14092 0
15063 3
14098 0
11977 0
10005 2
10006 3
12055 2
10543 3
14108 0
14109 1
10015 3
10016 2
10017 3
11227 1
12068 3
10886 3
11995 0
14119 2
14120 1
10204 1
14122 0
14125 1
10030 3
12079 3
10033 3
14130 1
14131 1
10039 3
10040 3
10041 3
10042 2
12255 1
12094 0
10050 3
10052 3
10053 3
11367 2
12103 3
10056 3
12599 2
12108 2
10064 3
16696 3
14307 0
14695 3
14167 2
16218 0
10076 2
12222 2
12127 3
14992 1
12131 2
12132 3
13535 2
12134 3
14993 2
12263 3
12141 2
13629 3
14193 0
12147 3
12149 2
10361 1
12155 3
12156 0
16567 1
13771 2
14112 0
16704 3
14044 3
14218 2
12171 1
12610 1
12174 1
12175 1
12177 1
11587 1
14229 2
14231 1
10136 0
12185 2
14234 1
12187 2
14236 2
14237 1
12190 1
12191 0
13296 0
10146 1
12195 1
12197 0
14321 0
12779 1
11522 3
10155 0
14252 0
10157 0
10158 0
14255 2
14256 1
13947 3
12211 2
10165 1
12214 1
16311 2
12217 0
10170 0
10171 2
10172 3
14270 3
12223 0
14273 2
14275 1
12228 2
12232 3
10185 0
14282 2
14283 3
11953 0
16336 3
13501 2
10194 1
16339 2
16340 2
14670 3
10198 2
13433 0
11961 2
16346 2
12252 2
12253 1
10917 1
10208 0
16720 3
14306 1
13307 2
14320 2
16721 3
10216 2
12265 0
12266 0
16363 3
12268 1
16722 3
11702 3
10224 3
10225 1
12278 0
12280 0
14332 3
10237 2
16353 2
